"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
1 0.00689349
2 0.01145735
3 0.01508811
4 0.01736664
5 0.01883858
6 0.01955705
7 0.01972898
8 0.01964988
9 0.01949802
10 0.01935542
11 0.01924851
12 0.01919083
13 0.01917223
14 0.01918382
15 0.01920647
16 0.01922408
17 0.01923067
18 0.01922552
19 0.01921196
20 0.01919286
21 0.01916923
22 0.01914407
23 0.01911918
24 0.01909525
25 0.01907289
26 0.01905264
27 0.0190349
28 0.01901938
29 0.019006
30 0.0189945
31 0.01898465
32 0.01897607
33 0.01896855
34 0.01896166
35 0.01895517
36 0.01894921
37 0.01894308
38 0.01893671
39 0.01893017
40 0.01892361
41 0.01891704
42 0.01891055
43 0.0189041
44 0.01889774
45 0.01889147
46 0.01888531
47 0.01887923
48 0.01887326
49 0.01886747
