Alpha,T1_Re0.036_M0.00_N9.0, , Alpha,T1_Re0.036_M0.00_N9.0, , 
           -8,    0.05527839, ,            -8,     0.1065796, , 
           -6,    0.03536671, ,            -6,    0.08914929, , 
           -4,    0.03236507, ,            -4,    0.06097799, , 
           -2,     0.0266685, ,            -2,    0.03935288, , 
            0,    0.02342893, ,             0,    0.03444716, , 
            2,    0.02665711, ,             2,    0.04633378, , 
            4,    0.03235959, ,             4,    0.05965565, , 
            6,    0.03536438, ,             6,    0.07744606, , 
            8,     0.0552804, ,             8,    0.09824619, , 
           12,     0.1577129, ,            10,     0.1229606, , 
           16,     0.2111188, ,            12,     0.1525992, , 
           18,     0.2352741, ,            14,     0.1837302, , 
           20,     0.2624524, ,            16,     0.2172727, , 
           22,     0.2950998, ,            18,     0.2414134, , 
           24,     0.3129523, ,            20,     0.2708393, , 
, , ,            22,     0.3003816, , 

