Alpha,T1-11.7 m/s-VLM1-Inviscid, , Alpha,T1-11.7 m/s-VLM1-Inviscid, , 
           -8,     0.0169131, ,            -8,   0.003110521, , 
           -6,   0.009581719, ,            -6,  0.0009157138, , 
           -4,   0.004280256, ,            -4,  0.0008718084, , 
           -2,   0.001073331, ,            -2,   0.002999028, , 
            0,             0, ,             0,   0.007291152, , 
            2,   0.001073331, ,             2,    0.01371556, , 
            4,   0.004280256, ,             4,    0.02221359, , 
            6,   0.009581719, ,             6,    0.03270112, , 
            8,     0.0169131, ,             8,    0.04506954, , 
           10,    0.02618496, ,            10,     0.0591869, , 
           12,    0.03728397, ,            12,    0.07489934, , 
           14,    0.05007425, ,            14,     0.0920328, , 
           16,     0.0643988, ,            16,     0.1103949, , 
           18,    0.08008128, ,            18,     0.1297772, , 
           20,    0.09692798, ,            20,     0.1499571, , 
           22,     0.1147299, ,            22,     0.1707008, , 
           24,     0.1332652, ,            24,     0.1917656, , 

