Alpha,T1_Re0.036_M0.00_N9.0, , Alpha,T1_Re0.036_M0.00_N9.0, , 
           -8,    -0.7848541, ,            -8,    -0.2958917, , 
           -6,    -0.6865692, ,            -6,    -0.2981643, , 
           -4,    -0.5017035, ,            -4,    -0.3818367, , 
           -2,   -0.01019027, ,            -2,      -0.17154, , 
            0, -7.403327e-09, ,             0,   0.003046219, , 
            2,    0.01033218, ,             2,     0.2516908, , 
            4,     0.5016726, ,             4,     0.4390668, , 
            6,     0.6865336, ,             6,     0.5931895, , 
            8,     0.7850019, ,             8,     0.5912882, , 
           12,     0.6147076, ,            10,      0.707497, , 
           16,     0.6863583, ,            12,     0.8071333, , 
           18,     0.7328655, ,            14,      0.856088, , 
           20,     0.7936118, ,            16,     0.9115429, , 
           22,     0.8580274, ,            18,     0.9472393, , 
           24,     0.9126855, ,            20,      1.006491, , 
, , ,            22,      1.066756, , 

