Alpha,T1_Re0.076_M0.00_N9.0, , Alpha,T1_Re0.076_M0.00_N9.0, , 
           -8,     -0.843956, ,            -8,    -0.4342337, , 
           -6,    -0.6860705, ,            -6,    -0.4446659, , 
           -4,    -0.5392227, ,            -4,    -0.2758345, , 
           -2,    -0.3745505, ,            -2,    0.05753248, , 
            0,  1.767041e-07, ,             0,      0.349459, , 
            2,     0.3744593, ,             2,     0.6025615, , 
            4,     0.5391154, ,             4,     0.8382102, , 
            6,      0.686005, ,             6,      1.025402, , 
            8,     0.8439776, ,             8,      1.250781, , 
           10,      0.911466, ,            10,      1.368561, , 
           12,     0.6166832, ,            12,      1.340737, , 
           14,     0.6604387, ,            14,      1.419946, , 
           16,     0.7174778, ,            16,      1.220678, , 
           18,     0.7359333, ,            18,     0.9781383, , 
           20,       0.79202, ,            20,      1.026602, , 
           22,      0.854009, ,            22,      1.073623, , 
           24,     0.9166636, ,            24,      1.127514, , 

