Alpha,T1-11.7 m/s-VLM1-Inviscid, , Alpha,T1-11.7 m/s-VLM1-Inviscid, , 
           -8,    -0.2841812, ,            -8,    -0.1184032, , 
           -6,    -0.2142176, ,            -6,   -0.04372331, , 
           -4,    -0.1433297, ,            -4,    0.03131562, , 
           -2,   -0.07182079, ,            -2,     0.1063955, , 
            0,             0, ,             0,     0.1811974, , 
            2,    0.07182079, ,             2,     0.2554043, , 
            4,     0.1433297, ,             4,     0.3287041, , 
            6,     0.2142176, ,             6,     0.4007921, , 
            8,     0.2841812, ,             8,     0.4713743, , 
           10,     0.3529255, ,            10,     0.5401694, , 
           12,     0.4201664, ,            12,     0.6069117, , 
           14,     0.4856337, ,            14,     0.6713533, , 
           16,     0.5490729, ,            16,     0.7332661, , 
           18,     0.6102478, ,            18,     0.7924439, , 
           20,     0.6689426, ,            20,      0.848704, , 
           22,     0.7249633, ,            22,     0.9018887, , 
           24,     0.7781396, ,            24,     0.9518664, , 

