Alpha,T1_Re0.036_M0.00_N9.0, , Alpha,T1_Re0.036_M0.00_N9.0, , 
           -8,     -14.19821, ,            -8,     -2.776252, , 
           -6,     -19.41287, ,            -6,      -3.34455, , 
           -4,     -15.50138, ,            -4,     -6.261877, , 
           -2,    -0.3821087, ,            -2,      -4.35902, , 
            0, -3.159908e-07, ,             0,    0.08843165, , 
            2,     0.3875957, ,             2,      5.432124, , 
            4,      15.50306, ,             4,       7.36002, , 
            6,      19.41314, ,             6,      7.659389, , 
            8,      14.20037, ,             8,      6.018434, , 
           12,      3.897638, ,            10,      5.753851, , 
           16,      3.251053, ,            12,      5.289238, , 
           18,      3.114943, ,            14,      4.659483, , 
           20,      3.023831, ,            16,      4.195387, , 
           22,      2.907584, ,            18,      3.923723, , 
           24,      2.916373, ,            20,      3.716191, , 
, , ,            22,      3.551336, , 

