Alpha,T1_Re0.076_M0.00_N9.0, , Alpha,T1_Re0.076_M0.00_N9.0, , 
           -8,     -25.55624, ,            -8,     -4.027299, , 
           -6,     -30.88307, ,            -6,      -5.25715, , 
           -4,     -30.87821, ,            -4,     -7.582155, , 
           -2,     -21.60248, ,            -2,      2.051294, , 
            0,  9.675076e-06, ,             0,      14.20535, , 
            2,      21.60019, ,             2,      23.40918, , 
            4,      30.87548, ,             4,      30.96368, , 
            6,      30.88327, ,             6,      32.87418, , 
            8,      25.55759, ,             8,      40.80817, , 
           10,      16.28409, ,            10,      44.81814, , 
           12,      4.438048, ,            12,      28.85512, , 
           14,      3.839341, ,            14,      21.11459, , 
           16,      3.491817, ,            16,      10.63588, , 
           18,      3.239597, ,            18,      4.209001, , 
           20,      3.122377, ,            20,       3.93193, , 
           22,      3.046848, ,            22,      3.707798, , 
           24,      2.951845, ,            24,      3.528535, , 

