Alpha,T1-5.5 m/s-VLM1-Inviscid, , Alpha,T1-5.5 m/s-VLM1-Inviscid, , 
           -8,     -16.80243, ,            -8,      -38.0654, , 
           -6,     -22.35691, ,            -6,     -47.74779, , 
           -4,     -33.48624, ,            -4,       35.9203, , 
           -2,     -66.91392, ,            -2,      35.47666, , 
            0,           nan, ,             0,      24.85168, , 
            2,      66.91392, ,             2,       18.6215, , 
            4,      33.48624, ,             4,      14.79743, , 
            6,      22.35691, ,             6,      12.25622, , 
            8,      16.80243, ,             8,      10.45882, , 
           10,      13.47818, ,            10,      9.126502, , 
           12,      11.26936, ,            12,      8.103031, , 
           14,      9.698272, ,            14,      7.294717, , 
           16,      8.526136, ,            16,      6.642208, , 
           18,      7.620355, ,            18,      6.106189, , 
           20,       6.90144, ,            20,      5.659646, , 
           22,      6.318869, ,            22,      5.283448, , 
           24,      5.839031, ,            24,      4.963698, , 

