,VLM1 -    3.0°-11.71m/s, , ,VLM1 -    3.0°-11.71m/s, , 
  -0.07537106,    0.01362667, ,   -0.07537106,     0.1601744, , 
   -0.0748562,     0.0234987, ,    -0.0748562,     0.1330607, , 
     -0.07383,    0.03397009, ,      -0.07383,     0.1478252, , 
  -0.07229946,    0.04434549, ,   -0.07229946,     0.1646472, , 
  -0.07027504,    0.05446464, ,   -0.07027504,     0.1829981, , 
  -0.06777058,    0.06422898, ,   -0.06777058,     0.2018441, , 
  -0.06480317,    0.07355894, ,   -0.06480317,      0.220518, , 
  -0.06139309,    0.08238554, ,   -0.06139309,      0.238556, , 
  -0.05756363,    0.09064816, ,   -0.05756363,     0.2556272, , 
  -0.05334096,    0.09829401, ,   -0.05334096,     0.2714964, , 
  -0.04875391,     0.1052778, ,   -0.04875391,     0.2859988, , 
  -0.04383382,     0.1115616, ,   -0.04383382,      0.299021, , 
  -0.03861431,     0.1171142, ,   -0.03861431,     0.3104881, , 
  -0.03313102,      0.121911, ,   -0.03313102,     0.3203534, , 
  -0.02742141,      0.125933, ,   -0.02742141,     0.3285896, , 
  -0.02152448,     0.1291659, ,   -0.02152448,      0.335183, , 
  -0.01548052,     0.1315995, ,   -0.01548052,     0.3401282, , 
 -0.009330816,     0.1332267, ,  -0.009330816,     0.3434241, , 
  -0.00311737,     0.1340428, ,   -0.00311737,     0.3450716, , 
   0.00311737,     0.1340428, ,    0.00311737,     0.3450716, , 
  0.009330816,     0.1332267, ,   0.009330816,     0.3434241, , 
   0.01548052,     0.1315995, ,    0.01548052,     0.3401282, , 
   0.02152448,     0.1291659, ,    0.02152448,      0.335183, , 
   0.02742141,      0.125933, ,    0.02742141,     0.3285896, , 
   0.03313102,      0.121911, ,    0.03313102,     0.3203534, , 
   0.03861431,     0.1171142, ,    0.03861431,     0.3104881, , 
   0.04383382,     0.1115616, ,    0.04383382,      0.299021, , 
   0.04875391,     0.1052778, ,    0.04875391,     0.2859988, , 
   0.05334096,    0.09829401, ,    0.05334096,     0.2714964, , 
   0.05756363,    0.09064816, ,    0.05756363,     0.2556272, , 
   0.06139309,    0.08238554, ,    0.06139309,      0.238556, , 
   0.06480317,    0.07355894, ,    0.06480317,      0.220518, , 
   0.06777058,    0.06422898, ,    0.06777058,     0.2018441, , 
   0.07027504,    0.05446464, ,    0.07027504,     0.1829981, , 
   0.07229946,    0.04434549, ,    0.07229946,     0.1646472, , 
      0.07383,    0.03397009, ,       0.07383,     0.1478252, , 
    0.0748562,     0.0234987, ,     0.0748562,     0.1330607, , 
   0.07537106,    0.01362667, ,    0.07537106,     0.1601744, , 

